name,date,country
EPI_ISL_413600_2020-03-03_Australia_hCoV-19/Australia/NSW14/2020,2020-03-03,Australia
EPI_ISL_414476_2020-02-29_UnitedStates_hCoV-19/USA/NY1-PV08001/2020,2020-02-29,UnitedStates
EPI_ISL_414008_2020-02-27_UnitedKingdom_hCoV-19/England/200960041/2020,2020-02-27,UnitedKingdom
Node169,NA,NA
Node170,NA,NA
Node171,NA,NA
EPI_ISL_410984_2020-01-29_France_BetaCoV/France/IDF0515-isl/2020,2020-01-29,France
EPI_ISL_408430_2020-01-30_France_France/IDF0515/2020,2020-01-30,France
EPI_ISL_411218_2020-02-02_France_BetaCoV/France/IDF0571/2020,2020-02-02,France
Node172,NA,NA
Node173,NA,NA
Node174,NA,NA
Node175,NA,NA
Node176,NA,NA
MT184912_2020-02-17_UnitedStates_2019-nCoV/USA-CruiseA-25/2020,2020-02-17,UnitedStates
MT184913_2020-02-24_UnitedStates_2019-nCoV/USA-CruiseA-26/2020,2020-02-24,UnitedStates
LC528232_2020-02-10_Japan_SARS-CoV-2/Hu/DP/Kng/19-020,2020-02-10,Japan
MT184910_2020-02-18_UnitedStates_2019-nCoV/USA-CruiseA-23/2020,2020-02-18,UnitedStates
Node177,NA,NA
EPI_ISL_407988_2020-02-01_Singapore_BetaCoV/Singapore/3/2020,2020-02-01,Singapore
Node178,NA,NA
EPI_ISL_412030_2020-02-01_China-HongKong_BetaCoV/HongKong/VB20026565/2020,2020-02-01,China
Node179,NA,NA
LC528233_2020-02-10_Japan_SARS-CoV-2/Hu/DP/Kng/19-027,2020-02-10,Japan
EPI_ISL_413459_2020-02-20_Japan_BetaCoV/Japan/TK/20-31-3/2020,2020-02-20,Japan
EPI_ISL_408481_2020-01-19_China-Chongqing_Chongqing/IVDC-CQ-001/2020,2020-01-19,China
EPI_ISL_403962_2020-01-08_Thailand_BetaCoV/Nonthaburi/61/2020,2020-01-08,Thailand
Node180,NA,NA
Node181,NA,NA
Node182,NA,NA
Node183,NA,NA
EPI_ISL_411950_2020-01-23_China-Jiangsu_BetaCoV/Jiangsu/JS01/2020,2020-01-23,China
EPI_ISL_408976_2020-01-22_Australia_BetaCoV/Sydney/2/2020,2020-01-22,Australia
Node184,NA,NA
Node185,NA,NA
EPI_ISL_407313_2020-01-19_China-Zhejiang_BetaCoV/Hangzhou/HZCDC0001/2020,2020-01-19,China
Node186,NA,NA
EPI_ISL_406538_2020-01-23_China-Guangdong_BetaCoV/Guangdong/20SF201/2020,2020-01-23,China
Node187,NA,NA
Node188,NA,NA
EPI_ISL_411953_2020-01-24_China-Jiangsu_BetaCoV/Jiangsu/JS03/2020,2020-01-24,China
Node189,NA,NA
Node190,NA,NA
Node191,NA,NA
Node192,NA,NA
Node193,NA,NA
EPI_ISL_411955_2020-02-10_UnitedStates_BetaCoV/USA/CA8/2020,2020-02-10,UnitedStates
Node194,NA,NA
Node195,NA,NA
Node196,NA,NA
MT184907_2020-02-18_UnitedStates_2019-nCoV/USA-CruiseA-19/2020,2020-02-18,UnitedStates
EPI_ISL_413620_2020-02-18_UnitedStates_hCoV-19/USA/CruiseA-15/2020,2020-02-18,UnitedStates
EPI_ISL_413621_2020-02-18_UnitedStates_hCoV-19/USA/CruiseA-16/2020,2020-02-18,UnitedStates
Node197,NA,NA
Node198,NA,NA
EPI_ISL_413558_2020-02-27_UnitedStates_hCoV-19/USA/CA-CDPH-UC2/2020,2020-02-27,UnitedStates
Node199,NA,NA
MT118835_2020-02-23_UnitedStates_2019-nCoV/USA-CA9/2020,2020-02-23,UnitedStates
EPI_ISL_413559_2020-02-27_UnitedStates_hCoV-19/USA/CA-CDPH-UC3/2020,2020-02-27,UnitedStates
Node200,NA,NA
EPI_ISL_413596_2020-02-28_Australia_hCoV-19/Australia/NSW10/2020,2020-02-28,Australia
EPI_ISL_413594_2020-02-28_Australia_hCoV-19/Australia/NSW08/2020,2020-02-28,Australia
EPI_ISL_413613_2020-02-17_UnitedStates_hCoV-19/USA/CruiseA-8/2020,2020-02-17,UnitedStates
EPI_ISL_414040_2020-02-05_UnitedKingdom_hCoV-19/England/200641094/2020,2020-02-05,UnitedKingdom
Node201,NA,NA
EPI_ISL_412872_2020-02-01_Korea_BetaCoV/Korea/KCDC12/2020,2020-02-01,Korea
Node202,NA,NA
EPI_ISL_413612_2020-02-17_UnitedStates_hCoV-19/USA/CruiseA-7/2020,2020-02-17,UnitedStates
EPI_ISL_413611_2020-02-21_UnitedStates_hCoV-19/USA/CruiseA-6/2020,2020-02-21,UnitedStates
Node203,NA,NA
Node204,NA,NA
EPI_ISL_414044_2020-02-08_UnitedKingdom_hCoV-19/England/200690756/2020,2020-02-08,UnitedKingdom
Node205,NA,NA
MT184911_2020-02-17_UnitedStates_2019-nCoV/USA-CruiseA-24/2020,2020-02-17,UnitedStates
EPI_ISL_413606_2020-02-17_UnitedStates_hCoV-19/USA/CruiseA-1/2020,2020-02-17,UnitedStates
Node206,NA,NA
EPI_ISL_414043_2020-02-07_UnitedKingdom_hCoV-19/England/200690306/2020,2020-02-07,UnitedKingdom
EPI_ISL_414041_2020-02-08_UnitedKingdom_hCoV-19/England/200690245/2020,2020-02-08,UnitedKingdom
Node207,NA,NA
Node208,NA,NA
EPI_ISL_406862_2020-01-28_Germany_BetaCoV/Germany/BavPat1/2020,2020-01-28,Germany
Node209,NA,NA
Node210,NA,NA
Node211,NA,NA
Node212,NA,NA
Node213,NA,NA
Node214,NA,NA
Node215,NA,NA
Node216,NA,NA
EPI_ISL_414027_2020-03-04_Scotland_hCoV-19/Scotland/CVR05/2020,2020-03-04,Scotland
EPI_ISL_413999_2020-02-27_Switzerland_hCoV-19/Switzerland/AG0361/2020,2020-02-27,Switzerland
EPI_ISL_413593_2020-02-29_Luxemburg_hCoV-19/Luxemburg/Lux1/2020,2020-02-29,Luxemburg
Node217,NA,NA
Node218,NA,NA
EPI_ISL_413591_2020-03-02_Netherlands_hCoV-19/Netherlands/Zeewolde_1365080/2020,2020-03-02,Netherlands
EPI_ISL_414428_2020-03-02_Netherlands_hCoV-19/Netherlands/NoordBrabant_1/2020,2020-03-02,Netherlands
Node219,NA,NA
EPI_ISL_413566_2020-03-02_Netherlands_hCoV-19/Netherlands/Blaricum_1364780/2020,2020-03-02,Netherlands
Node220,NA,NA
EPI_ISL_414443_2020-03-03_Netherlands_hCoV-19/Netherlands/Utrecht_11/2020,2020-03-03,Netherlands
EPI_ISL_414457_2020-03-06_Netherlands_hCoV-19/Netherlands/NoordBrabant_17/2020,2020-03-06,Netherlands
Node221,NA,NA
EPI_ISL_412973_2020-02-20_Italy_BetaCoV/Italy/CDG1/2020,2020-02-20,Italy
Node222,NA,NA
Node223,NA,NA
EPI_ISL_413572_2020-03-01_Netherlands_hCoV-19/Netherlands/Haarlem_1363688/2020,2020-03-01,Netherlands
EPI_ISL_413592_2020-02-29_China_hCoV-19/Taiwan/NTU03/2020,2020-02-29,China
EPI_ISL_413555_2020-02-27_UnitedKingdom_hCoV-19/Wales/PHW1/2020,2020-02-27,UnitedKingdom
Node224,NA,NA
EPI_ISL_414019_2020-02-27_Switzerland_hCoV-19/Switzerland/GE3121/2020,2020-02-27,Switzerland
EPI_ISL_414020_2020-02-27_Switzerland_hCoV-19/Switzerland/GE5373/2020,2020-02-27,Switzerland
EPI_ISL_413589_2020-03-01_Netherlands_hCoV-19/Netherlands/Utrecht_1363628/2020,2020-03-01,Netherlands
Node225,NA,NA
